timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gnss_lat,gnss_lon,gnss_alt,gnss_speed,gnss_bearing,gnss_accuracy,engine_state,ml_speed,heading_deg,pos_e,pos_n,pos_u,nhc_enabled,vnhc_enabled,compass_accepted,map_accepted
1788946407063,-0.07,-0.1507,9.856,-0.00093,-0.0004,-0.00013,-37.54,28.52,-6.6,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.55,0.15,0.26,False,False,False,False
1788946407168,-0.0987,-0.1507,9.8441,0.00013,0.00067,0.0004,-37.56,28.65,-6.77,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.56,0.14,0.27,False,False,False,False
1788946407278,-0.1083,-0.1507,9.8417,-0.00093,0.00067,0.0004,-37.89,28.44,-6.6,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.57,0.14,0.27,False,False,False,False
1788946407390,-0.1011,-0.1484,9.8465,-0.0004,0.00067,-0.00067,-37.61,28.11,-7.14,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.57,0.13,0.28,False,False,False,False
1788946407517,-0.0676,-0.1747,9.8393,-0.00093,0.00067,-0.00067,-37.8,29.18,-7.2,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.58,0.13,0.28,False,False,False,False
1788946407638,-0.0652,-0.1579,9.8417,-0.00093,-0.0004,0.0004,-37.76,28.56,-7.13,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.59,0.13,0.29,False,False,False,False
1788946407760,-0.0987,-0.146,9.8321,0.00013,0.00013,-0.00013,-37.82,29.18,-7.67,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.04,-0.59,0.12,0.29,False,False,False,False
1788946407886,-0.1059,-0.1436,9.7795,0.00599,0.02623,-0.00067,-37.82,28.09,-6.19,0.0,0.0,0.0,0.0,0.0,16.95,GNSS_LOCKED,0.02,338.05,-0.6,0.12,0.29,False,False,False,False
1788946408018,-0.0556,-0.1388,9.801,-0.00146,-0.00146,-0.00013,-38.21,28.76,-7.58,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.05,-0.6,0.11,0.3,False,False,False,False
1788946408127,-0.0628,-0.1531,9.8154,-0.00253,-0.0004,-0.00013,-37.54,29.23,-7.74,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.61,0.11,0.3,False,False,False,False
1788946408234,-0.058,-0.1747,9.8345,-0.002,-0.0004,-0.00013,-37.71,28.8,-6.64,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.62,0.11,0.31,False,False,False,False
1788946408340,-0.0867,-0.1412,9.8369,-0.00306,-0.0004,0.0004,-37.84,29.27,-6.88,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.62,0.1,0.31,False,False,False,False
1788946408447,-0.1059,-0.1316,9.8536,-0.0004,0.00013,-0.00013,-37.37,29.34,-7.18,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.63,0.1,0.31,False,False,False,False
1788946408555,-0.1178,-0.1412,9.8536,-0.0004,0.00067,0.0004,-37.26,29.01,-6.69,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.63,0.1,0.32,False,False,False,False
1788946408672,-0.0915,-0.1723,9.8465,-0.002,-0.0004,-0.00013,-38.38,28.78,-7.07,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.64,0.09,0.32,False,False,False,False
1788946408781,-0.0676,-0.1723,9.8441,-0.00146,-0.0004,-0.00013,-38.64,28.63,-7.01,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.65,0.09,0.32,False,False,False,False
1788946408889,-0.0652,-0.1436,9.8465,-0.0004,-0.0004,0.0004,-37.78,28.76,-7.43,0.0,0.0,0.0,0.0,0.0,17.2,GNSS_LOCKED,0.02,338.06,-0.65,0.09,0.33,False,False,False,False
1788946409005,-0.0724,-0.1316,9.8489,-0.0004,0.00067,-0.00013,-37.61,28.48,-7.65,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.66,0.08,0.33,False,False,False,False
1788946409118,-0.0963,-0.1603,9.8345,-0.0004,-0.0004,-0.00013,-37.67,28.2,-7.65,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.66,0.08,0.32,False,False,False,False
1788946409225,-0.082,-0.1579,9.8369,0.00013,-0.0004,0.00093,-38.06,28.48,-6.92,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.67,0.08,0.32,False,False,False,False
1788946409335,-0.0843,-0.1555,9.8513,-0.00093,-0.0004,0.00093,-38.59,28.28,-7.03,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.67,0.07,0.32,False,False,False,False
1788946409447,-0.0772,-0.1675,9.8297,-0.00093,0.00013,-0.00013,-38.48,28.84,-7.31,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.68,0.07,0.32,False,False,False,False
1788946409559,-0.0796,-0.1842,9.813,-0.00093,-0.0004,-0.00013,-37.82,28.39,-7.71,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.68,0.07,0.32,False,False,False,False
1788946409671,-0.0867,-0.1412,9.8513,-0.00093,0.00067,-0.00013,-37.73,28.41,-7.86,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.69,0.06,0.32,False,False,False,False
1788946409781,-0.0939,-0.1507,9.8417,-0.0004,0.00067,0.0004,-38.38,28.22,-7.16,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.06,-0.69,0.06,0.32,False,False,False,False
1788946409890,-0.082,-0.1507,9.8345,-0.002,-0.0004,-0.0012,-37.95,27.73,-7.28,0.0,0.0,0.0,0.0,0.0,17.33,GNSS_LOCKED,0.02,338.07,-0.7,0.06,0.31,False,False,False,False
1788946410003,-0.0724,-0.1651,9.8393,-0.00093,-0.0004,-0.00013,-37.88,28.2,-7.29,0.0,0.0,0.0,0.0,0.0,17.92,GNSS_LOCKED,0.02,338.07,-0.7,0.05,0.31,False,False,False,False
1788946410114,-0.0796,-0.1412,9.8513,-0.00146,0.00013,-0.00013,-38.06,28.84,-6.17,0.0,0.0,0.0,0.0,0.0,17.92,GNSS_LOCKED,0.02,338.07,-0.71,0.05,0.31,False,False,False,False
1788946410223,-0.082,-0.1507,9.8489,-0.00146,0.00067,-0.00013,-38.29,28.78,-7.61,0.0,0.0,0.0,0.0,0.0,17.92,GNSS_LOCKED,0.02,338.07,-0.71,0.05,0.31,False,False,False,False
1788946410334,-0.1011,-0.1412,9.8441,-0.00093,-0.0004,0.0004,-37.78,28.89,-8.25,0.0,0.0,0.0,0.0,0.0,17.92,GNSS_LOCKED,0.02,338.07,-0.72,0.04,0.31,False,False,False,False
1788946410454,-0.0867,-0.1364,9.8513,-0.00093,-0.0004,0.0004,-38.76,28.52,-7.07,0.0,0.0,0.0,0.0,0.0,17.92,GNSS_LOCKED,0.02,338.07,-0.72,0.04,0.31,False,False,False,False
