step,time_s,ax,ay,az,gx,gy,gz,mx,my,mz,ml_speed,gnss_valid,ref_pos_e,ref_pos_n,ref_pos_u,ref_vel_e,ref_vel_n,ref_vel_u,ref_heading,nav_state
0,0.0,-0.03014230164677463,-2.5876749176013107,9.329646543276358,0.07134498819593595,0.24222052867320554,0.03273603746018396,-32.56,-36.5,8.13,1.245585537513983,1,0.44415036360475707,0.15744184371421477,-0.00010844607010120381,8.902101331837368,3.10269475966799,-0.020490536506475043,70.08051490635057,GNSS_LOCKED
1,0.1,-1.732655638349819,-1.2015310367938938,9.84489278542512,0.2157193559615562,0.124181257431844,0.005789193914311766,-32.62,-36.62,8.94,5.38199979381592,1,1.1601505859224603,0.4272696718549929,-0.0007248048365818213,8.678861947818895,3.0973876358099544,-0.005730419256150942,71.02688762341621,GNSS_LOCKED
2,0.2,-1.1894718335038845,-2.3979425906758727,9.665962972674974,-0.05113245503393217,0.11189700058994352,0.009747476656913825,-32.31,-36.87,9.31,4.275752182368418,1,1.9550890291700893,0.7032633360266465,-0.0007423289963702979,8.733960954687209,2.9358555012075143,-0.00871991424008371,70.60964087474206,GNSS_LOCKED
3,0.30000000000000004,0.2371758868696868,-2.2658473733485582,10.673124327926525,0.1873668014323107,0.17929942484728673,-0.0697599309808807,-32.81,-37.25,8.63,7.63558143406817,1,2.792806549312652,0.9507644286342817,-0.0010086317978885108,8.851961217240063,2.597069033574536,0.043330596947926535,71.80080316705178,GNSS_LOCKED
4,0.4,-0.4332084183355717,-2.5917679064609427,10.052782728942383,0.05509224498020221,0.13768318374516966,-0.013924993961766687,-33.31,-36.56,8.25,6.917290309657776,1,3.6463026202661495,1.1876652513361032,0.001334123147383003,8.835998050385006,2.4429766322799007,0.04155891006861,72.37225940592732,GNSS_LOCKED
5,0.5,-1.6276907305533443,-2.694081027991085,10.249567842611182,0.12412285263478853,0.28159465501262637,-0.01255618262540502,-32.56,-36.62,9.25,6.422268117682627,1,4.5062367028304395,1.4259227305846325,0.0036553394130821384,8.781990702411495,2.394470922240274,0.06137097222594386,72.59009476706673,GNSS_LOCKED
6,0.6000000000000001,-2.5944661365623847,-1.578740947069135,9.816558375942064,0.024165992179395735,0.13662440518839,-0.0036106410655199514,-33.19,-37.5,7.81,6.037506830231515,1,5.361625104735059,1.6620496494262622,0.006370181348943994,8.655894844964962,2.3743180747472015,0.052176690391063846,73.13337218284447,GNSS_LOCKED
7,0.7000000000000001,-0.31559773720550366,-2.9564563844471112,9.755246207304697,0.12025042833831452,0.32846971714481504,0.012945246357526991,-33.0,-36.87,8.19,6.106584006503153,1,6.215460365176667,1.8890002788670073,0.008275194156121185,8.70703054925241,2.236756015731828,0.027988301729817564,73.46731088499446,GNSS_LOCKED
8,0.8,-1.5281863064053383,-1.3471891317309337,10.375198529004699,-0.08971719864727033,0.10845406195909656,-0.004274425278172695,-32.75,-36.69,8.0,5.993169742515262,1,7.067385461908398,2.1266668175873265,0.009429208098586356,8.611269058793733,2.383923328740814,0.061377744260924946,73.50027239963657,GNSS_LOCKED
9,0.9,0.19251573220482932,-2.0777356276276224,10.284998907853149,0.058555948566261,0.1787217452576977,0.006069485937704871,-32.56,-36.75,7.81,5.6967194828858005,1,7.915030205131112,2.365561650103048,0.011266175129968543,8.629254753608011,2.372179667045624,0.061547922930260276,73.41810278945995,GNSS_LOCKED
10,1.0,-0.3816753505390766,-1.2002495063604404,9.95538491015151,0.07361943283739338,0.23976182367276144,0.01688984954971992,-32.62,-37.44,7.13,4.233992115784664,1,8.755232671806683,2.6043416684412604,0.013038142160893504,8.508736041330952,2.391769839181024,0.04394283415468994,73.14362342901694,GNSS_LOCKED
11,1.1,-1.6450907751193427,-0.8576206003858721,9.215439636686414,0.014057720394244357,0.2331736215124627,-0.017067299964552658,-32.25,-37.37,6.06,4.388107564518023,1,9.585283406345281,2.8442679318237896,0.014374390128630834,8.351896008880288,2.3923159994432095,-0.0038617535427950215,73.1604713887133,GNSS_LOCKED
12,1.2000000000000002,-0.5484462080965792,-1.9362174266498775,10.029996982729447,0.023061866869365167,0.21491218991376093,0.03962260621124292,-32.31,-36.94,6.38,6.094907335058822,1,10.412340895048448,3.068808855388183,0.012855174095079268,8.393097066495708,2.2098328115202275,0.006204800285285041,73.43435341469169,GNSS_LOCKED
13,1.3,-0.47033265036364613,-1.1571936756822323,10.249544762327885,0.06879898658056008,0.25330104889020405,0.019124279767101456,-31.56,-36.37,6.0,4.42063125195099,1,11.236240445291246,3.2853143055237877,0.012084469524277127,8.339323666968978,2.1802348368048117,0.02360919737959257,73.28432892071483,GNSS_LOCKED
14,1.4000000000000001,-1.0695257315914404,-1.0282980040203367,9.33029225771581,-0.009609355933586734,0.20253813132015946,0.051847330113319094,-32.37,-36.94,6.38,4.490553099080761,1,12.054022631532407,3.4983291687201614,0.012824576842560415,8.248122470467408,2.1384401086391094,-0.01666234950320422,72.90607371176984,GNSS_LOCKED
15,1.5,-0.02142906923582974,-1.8107363642900067,10.291334940814505,-0.03523218382649417,0.19205171246926114,0.021890933293040985,-32.62,-36.62,5.56,4.037755631588816,1,12.85086392223088,3.7142306079533816,0.011737647258225039,8.091045328202293,2.1492686447214626,0.008449829864685576,72.26531251458891,GNSS_LOCKED
16,1.6,0.09764178514509851,-2.853943893209306,9.776973984633845,0.036579944126003,0.23313327338212583,-0.02759192870883557,-32.37,-36.12,5.13,4.608251947786909,1,13.621013279058436,3.9309533494965483,0.01247225207153652,7.839218295659812,2.11548294696859,-0.0008857632177692518,72.5864205883305,GNSS_LOCKED
17,1.7000000000000002,0.3734511040139473,-2.464240388578532,9.638379583218805,0.05836337693963536,0.20108072436666063,-0.00875377178027263,-32.31,-36.44,4.5,4.260524261322523,1,14.363505066114612,4.145783934910612,0.013237216612609222,7.570409622536884,2.1222871585703924,-0.016878551635474776,72.71898138625876,GNSS_LOCKED
18,1.8,-0.6336296545344251,-1.3073562844473474,9.620373601706465,0.018437811678719,0.1735968815963142,0.001822031979782131,-30.75,-36.25,4.31,4.186702046664645,1,15.080898070950875,4.352874225950285,0.01304295964597285,7.267965568323258,2.0829203626517927,-0.024035396440267517,72.8837908077292,GNSS_LOCKED
19,1.9000000000000001,0.20752062873783725,-1.7299461419274287,9.921922061006056,0.07285788827749846,0.22509114600569338,0.0299440161900032,-31.56,-36.31,4.19,4.259478303277212,1,15.771553263899298,4.550901387255724,0.01246847222453453,7.0509012377087865,1.9927681714147483,-0.016746795167909695,73.01077427157801,GNSS_LOCKED
20,2.0,0.28774977009584785,-1.0181022148042613,10.056817755136088,0.02853127467894618,0.17405536274683733,0.0436257614748602,-30.37,-36.75,4.13,5.3696754236978705,1,16.434475473224595,4.747272008219176,0.012438518664697891,6.762631482707876,2.012421960581035,-0.0067576774267724266,72.03409725489117,GNSS_LOCKED
21,2.1,1.1702966655426084,-0.7323112339733594,9.817844717717646,0.03751408403678291,0.15486895307995227,0.003186043125999002,-31.19,-36.62,3.44,4.159375526478411,1,17.06808491134355,4.938459874508133,0.013213380840312542,6.501942235813377,1.9775695995114095,-0.02256619347521653,71.39186131247071,GNSS_LOCKED
22,2.2,0.1553048774278384,-0.5735531705476583,9.956164301858516,0.03130673094274504,0.14836346759658328,-0.006719380953343262,-30.37,-37.0,3.56,4.857291638693368,1,17.681423965971934,5.1184851014375035,0.012826968161132856,6.2565001028135505,1.8633020559809426,-0.01576903845363282,71.33279816180156,GNSS_LOCKED
23,2.3000000000000003,0.3470949140457656,-1.1361506076106795,9.799022214357382,0.018079342310072386,0.18892368944364268,-0.018120898118947404,-30.62,-36.69,2.69,5.141133999712206,1,18.266895476315316,5.291133287601356,0.013307726249544526,5.987995845964019,1.7652511632858676,-0.019563601439602632,71.13502287597778,GNSS_LOCKED
24,2.4000000000000004,-0.1721808746485919,-0.8458683620921741,9.844162254372728,-0.02383537672484527,0.17054442126828245,0.03501721277673745,-30.19,-36.37,2.44,4.731872979118392,1,18.82801064132065,5.4635986005960255,0.01350762182151634,5.715574859377949,1.7739869747627148,-0.01825394276803286,70.30030056534244,GNSS_LOCKED
25,2.5,1.0187338723936883,-0.35985522451961055,9.727590793954262,-0.005521732840529025,0.16347568847143293,0.05138160901751549,-30.31,-36.81,2.75,5.244666266347411,1,19.35932681381785,5.642866026605641,0.014340394881242627,5.460374504137206,1.8736681709268461,-0.034232301829523554,68.71589784788226,GNSS_LOCKED
26,2.6,1.2793313675494464,-0.7792577048985364,9.690722718732609,0.05595482358977002,0.205463812266082,0.046430804065037606,-30.19,-35.94,2.19,4.526754402072351,1,19.86029110324185,5.829656321320375,0.014863995819965274,5.170999347880393,1.9329178738672335,-0.04342594718356836,67.14590596960802,GNSS_LOCKED
27,2.7,0.7960618286707593,-0.518223155684526,9.787839024822881,0.03898619053362827,0.19893447821583463,0.0076315348829216504,-29.87,-36.5,1.81,3.4072905271088154,1,20.332805128062247,6.008752098964437,0.014874484156074112,4.860270064583727,1.8640056567103986,-0.04063760418344403,66.62303748755386,GNSS_LOCKED
28,2.8000000000000003,0.9389002260085968,-1.0119195679756587,10.008867065434977,0.08915710633969526,0.20009777592370662,0.0008002871474491794,-29.06,-36.37,1.56,2.650025658197969,1,20.774021610779727,6.183905856190979,0.014761033505747043,4.562666302452142,1.8027094819765042,-0.022280831789188618,66.16676648395813,GNSS_LOCKED
29,2.9000000000000004,0.3424749571825202,0.16554583884280208,9.842379304768977,0.10022903310421244,0.19686436540488025,0.0006344735837356756,-29.0,-36.75,1.88,2.6939799353390104,1,21.191357771469736,6.3553084988751225,0.015185848479363138,4.276151151114788,1.8007276026431926,-0.02665456186590463,65.64359999489423,GNSS_LOCKED
30,3.0,0.5273072736314441,1.0619443188738191,9.730661043977793,0.12448451741888057,0.2698468581020743,0.06825612130371442,-28.56,-37.37,2.13,4.326828992995536,1,21.582848568974853,6.528225609321659,0.01556279617719355,4.009830104759263,1.847112390392031,-0.040879420947419816,64.49183294795789,GNSS_LOCKED
31,3.1,-0.1949209232413552,1.780606078793342,9.764456849505093,0.10396757007182775,0.29514428584805313,0.07700626535939975,-28.56,-37.06,2.56,5.7393597431307235,1,21.950464115160504,6.704442157558243,0.015123950818611601,3.7299714943010955,1.891719873362107,-0.04639032421455568,63.26347409273555,GNSS_LOCKED
32,3.2,0.2686828984743081,1.6175620097307541,10.407926342203968,0.07460482102562425,0.3540478605931312,0.03212667255041055,-28.75,-36.75,1.56,5.843626038884257,1,22.29636033964545,6.882735055535107,0.013510002105575857,3.5451803273830245,1.9151429271154217,-0.007773617900813731,62.55361792467175,GNSS_LOCKED
33,3.3000000000000003,0.18599506941931596,2.421451423637445,10.248300833168194,0.09855170884807889,0.33877430151772203,0.04704628905985076,-28.12,-37.37,1.19,5.386158821177308,1,22.62342009637373,7.064415392934357,0.01348134248938244,3.345018451186492,1.9723407332430065,0.007541599662498948,61.64757731349853,GNSS_LOCKED
