trip,category,model,horizon_sec,n_episodes,mean_dist_m,drift_m,drift_pct,episode_pass_rate_pct,is_trip_pass
V-Vfa02,Motorway,BiasCorr_Kinematics,10,446,243.48,13.85,7.98,83.9,1
V-Vfa02,Motorway,BiasCorr_Kinematics,20,446,486.82,51.78,14.02,61.4,0
V-Vfa02,Motorway,BiasCorr_Kinematics,30,446,730.4,113.55,20.63,44.6,0
V-Vfa02,Motorway,BiasCorr_Kinematics,60,446,1460.32,437.99,36.46,22.9,0
V-Vfa02,Motorway,Damped_Momentum,10,446,243.48,16.42,10.62,75.6,0
V-Vfa02,Motorway,Damped_Momentum,20,446,486.82,43.92,10.7,63.2,0
V-Vfa02,Motorway,Damped_Momentum,30,446,730.4,73.93,12.1,57.4,0
V-Vfa02,Motorway,Damped_Momentum,60,446,1460.32,162.32,12.8,50.7,0
V-Vfa02,Motorway,Pure_Kinematics,10,446,243.48,14.44,9.06,83.0,1
V-Vfa02,Motorway,Pure_Kinematics,20,446,486.82,49.36,14.27,60.8,0
V-Vfa02,Motorway,Pure_Kinematics,30,446,730.4,100.15,18.1,46.0,0
V-Vfa02,Motorway,Pure_Kinematics,60,446,1460.32,313.9,25.44,28.5,0
V-Vfa02,Motorway,Static_TCN,10,446,243.48,31.13,27.31,46.4,0
V-Vfa02,Motorway,Static_TCN,20,446,486.82,58.82,14.8,46.4,0
V-Vfa02,Motorway,Static_TCN,30,446,730.4,85.02,13.52,47.8,0
V-Vfa02,Motorway,Static_TCN,60,446,1460.32,163.65,12.28,52.2,0
Vta21,Suburban,BiasCorr_Kinematics,10,10,140.75,35.35,26.73,40.0,0
Vta21,Suburban,BiasCorr_Kinematics,20,10,278.18,150.41,59.25,10.0,0
Vta21,Suburban,BiasCorr_Kinematics,30,10,411.03,295.17,84.19,20.0,0
Vta21,Suburban,BiasCorr_Kinematics,60,10,786.7,1049.55,131.82,0.0,0
Vta21,Suburban,Damped_Momentum,10,10,140.75,25.63,35.69,40.0,0
Vta21,Suburban,Damped_Momentum,20,10,278.18,60.0,21.95,20.0,0
Vta21,Suburban,Damped_Momentum,30,10,411.03,92.51,24.33,40.0,0
Vta21,Suburban,Damped_Momentum,60,10,786.7,226.44,28.67,10.0,0
Vta21,Suburban,Pure_Kinematics,10,10,140.75,41.21,115.97,30.0,0
Vta21,Suburban,Pure_Kinematics,20,10,278.18,124.04,59.2,0.0,0
Vta21,Suburban,Pure_Kinematics,30,10,411.03,200.4,54.48,10.0,0
Vta21,Suburban,Pure_Kinematics,60,10,786.7,406.81,51.45,0.0,0
Vta21,Suburban,Static_TCN,10,10,140.75,41.9,84.89,30.0,0
Vta21,Suburban,Static_TCN,20,10,278.18,69.34,45.3,20.0,0
Vta21,Suburban,Static_TCN,30,10,411.03,81.39,23.76,30.0,0
Vta21,Suburban,Static_TCN,60,10,786.7,63.65,8.19,80.0,1
Vta22,Suburban,BiasCorr_Kinematics,10,6,95.64,36.26,40.72,16.7,0
Vta22,Suburban,BiasCorr_Kinematics,20,6,195.61,139.0,70.79,0.0,0
Vta22,Suburban,BiasCorr_Kinematics,30,6,293.75,283.98,94.49,0.0,0
Vta22,Suburban,BiasCorr_Kinematics,60,6,641.28,855.49,131.22,0.0,0
Vta22,Suburban,Damped_Momentum,10,6,95.64,28.29,31.59,0.0,0
Vta22,Suburban,Damped_Momentum,20,6,195.61,82.44,42.0,0.0,0
Vta22,Suburban,Damped_Momentum,30,6,293.75,129.21,43.08,0.0,0
Vta22,Suburban,Damped_Momentum,60,6,641.28,238.84,36.97,16.7,0
Vta22,Suburban,Pure_Kinematics,10,6,95.64,22.12,24.26,16.7,0
Vta22,Suburban,Pure_Kinematics,20,6,195.61,55.24,28.04,33.3,0
Vta22,Suburban,Pure_Kinematics,30,6,293.75,86.54,29.96,33.3,0
Vta22,Suburban,Pure_Kinematics,60,6,641.28,176.7,27.72,0.0,0
Vta22,Suburban,Static_TCN,10,6,95.64,19.22,20.6,16.7,0
Vta22,Suburban,Static_TCN,20,6,195.61,23.35,11.29,50.0,0
Vta22,Suburban,Static_TCN,30,6,293.75,40.13,13.06,33.3,0
Vta22,Suburban,Static_TCN,60,6,641.28,79.12,12.43,16.7,0
Vta23,Suburban,BiasCorr_Kinematics,10,3,80.33,36.95,52.05,33.3,0
Vta23,Suburban,BiasCorr_Kinematics,20,3,159.92,181.22,107.94,0.0,0
Vta23,Suburban,BiasCorr_Kinematics,30,3,248.4,351.18,131.76,0.0,0
Vta23,Suburban,BiasCorr_Kinematics,60,3,570.14,1221.68,203.25,0.0,0
Vta23,Suburban,Damped_Momentum,10,3,80.33,33.11,47.16,33.3,0
Vta23,Suburban,Damped_Momentum,20,3,159.92,117.68,72.29,0.0,0
Vta23,Suburban,Damped_Momentum,30,3,248.4,154.59,59.43,0.0,0
Vta23,Suburban,Damped_Momentum,60,3,570.14,354.37,59.87,0.0,0
Vta23,Suburban,Pure_Kinematics,10,3,80.33,12.54,15.47,0.0,0
Vta23,Suburban,Pure_Kinematics,20,3,159.92,30.66,26.5,66.7,0
Vta23,Suburban,Pure_Kinematics,30,3,248.4,102.31,43.42,0.0,0
Vta23,Suburban,Pure_Kinematics,60,3,570.14,352.9,62.4,0.0,0
Vta23,Suburban,Static_TCN,10,3,80.33,24.12,44.94,0.0,0
Vta23,Suburban,Static_TCN,20,3,159.92,43.35,28.77,0.0,0
Vta23,Suburban,Static_TCN,30,3,248.4,65.15,27.12,0.0,0
Vta23,Suburban,Static_TCN,60,3,570.14,132.2,23.06,0.0,0
Vta24,Suburban,BiasCorr_Kinematics,10,4,53.0,12.18,31.48,50.0,0
