trip_name,epochs,avg_speed_kmh,tcn_mae_mps,const_mae_mps,vib_ridge_mae_mps,vib_ridge_rmse_mps,vib_ridge_bias_mps,vib_ridge_r2,vib_rf_mae_mps,vib_rf_rmse_mps,vib_rf_bias_mps,vib_rf_r2,vibration_beats_tcn,vibration_beats_constant
V-Vfa02,67474,87.0,3.412,11.488,8.797,9.36,-7.523,-1.009,4.577,5.652,-3.381,0.268,False,True
Vta21,2030,48.2,3.936,3.558,3.966,5.38,1.916,-0.265,3.52,4.904,0.841,-0.051,True,True
Vta22,1515,38.4,2.249,3.593,3.737,4.574,3.347,-2.066,3.291,3.947,3.181,-1.283,False,True
Vta23,1061,35.1,2.415,4.387,3.518,4.419,3.393,-1.06,3.234,3.729,3.226,-0.467,False,True
Vta24,1122,20.4,1.216,8.599,7.175,8.519,5.091,-1.11,2.286,3.132,1.415,0.715,False,True
Vta25,597,7.4,2.476,12.082,10.166,11.12,10.166,-9.179,4.744,6.866,4.641,-2.881,False,True
Vta26,1886,18.8,2.129,8.982,8.374,9.844,8.246,-2.394,3.219,4.542,3.208,0.277,False,True
Vta27,2491,45.3,3.703,2.563,4.943,6.45,3.709,-1.421,3.54,5.156,0.63,-0.546,True,False
Vta28,4161,33.5,2.613,5.441,5.363,6.7,4.041,-0.639,4.027,5.339,3.177,-0.041,False,True
Vtb09,403,77.7,2.613,7.44,5.049,5.945,-4.909,-14.501,3.787,4.468,-0.862,-7.757,False,True
Vtb10,146,43.3,2.439,2.616,3.552,4.393,-1.084,-1.501,3.297,4.081,1.679,-1.158,False,False
Vtb11,312,69.3,6.188,5.11,9.506,9.941,-9.506,-444.409,6.119,6.487,-6.119,-188.65,True,False
Vtb12,398,39.5,2.01,3.583,3.818,4.642,-0.136,-1.832,3.64,5.243,1.527,-2.613,False,False
Vw12,869,90.5,2.406,11.002,6.053,6.644,-5.481,-28.613,2.226,3.213,-1.623,-5.926,True,True
Vw13,235,96.8,2.969,12.735,5.661,6.127,-5.655,-144.642,1.751,2.534,-1.691,-23.903,True,True
Vw14a,3089,90.6,2.493,11.016,4.617,5.348,-4.225,-5.502,1.984,2.812,-0.552,-0.797,True,True
Vw14b,19539,75.6,3.106,8.324,4.841,5.786,-3.328,0.1,3.291,4.152,0.458,0.537,False,True
Vw15,1331,0.1,0.031,14.119,8.7,9.262,8.7,-292955.341,0.301,0.973,0.301,-3229.684,False,True
Vw16a,5830,52.3,3.972,5.338,6.253,7.868,-1.777,-0.422,4.285,5.622,-1.164,0.274,False,True
