trip_name,driver,split,epochs,duration_min,avg_speed_kmh,max_speed_kmh,r_dom_freq,rho_dom_freq,r_tot_power,rho_tot_power,r_centroid,rho_centroid,r_mid_power_2_3Hz,r_high_power_3_5Hz,r2_power_univariate,power_slope,power_intercept
V-Vfa01,Vf (Driver E),Val,11437,19.06,58.9,98.4,-0.151,-0.153,0.261,0.374,-0.183,-0.184,0.246,0.2,0.068,3.1629,14.07
V-Vfa02,Vf (Driver E),Test,67474,112.46,87.0,117.9,-0.014,0.01,0.104,0.219,-0.052,-0.034,0.102,0.073,0.011,1.8701,23.16
Vta01a,Vta (Driver E),Train,25627,42.71,57.2,103.4,-0.075,-0.052,0.116,0.194,-0.191,-0.191,0.089,-0.033,0.013,1.0649,15.18
Vta01b,Vta (Driver E),Train,904,1.51,46.9,77.7,-0.163,-0.148,0.697,0.69,-0.298,-0.3,0.588,0.255,0.486,8.2189,7.53
Vta02,Vta (Driver E),Train,10942,18.24,36.3,81.6,-0.261,-0.236,0.615,0.667,-0.271,-0.269,0.46,0.407,0.378,8.5767,6.53
Vta03,Vta (Driver E),Train,596,0.99,21.3,45.8,0.019,0.035,-0.692,-0.608,-0.075,-0.119,-0.596,-0.619,0.479,-26.5909,8.35
Vta04,Vta (Driver E),Train,1740,2.9,40.7,51.7,0.157,0.115,0.277,0.128,0.215,0.155,0.078,0.307,0.076,2.0894,10.24
Vta05,Vta (Driver E),Train,258,0.43,42.0,51.1,0.002,0.062,-0.149,-0.025,0.129,0.001,-0.002,-0.172,0.022,-1.5854,12.18
Vta06,Vta (Driver E),Train,1327,2.21,68.4,103.9,-0.139,-0.131,0.148,0.253,-0.14,-0.055,0.177,0.002,0.022,1.43,18.02
Vta07,Vta (Driver E),Train,791,1.32,63.9,113.1,0.001,0.009,0.463,0.67,0.041,0.096,0.5,0.243,0.214,10.9244,12.46
Vta08,Vta (Driver E),Train,3627,6.05,33.5,77.6,0.047,0.05,0.669,0.836,0.048,0.026,0.596,0.616,0.448,14.1748,5.08
Vta09,Vta (Driver E),Train,107,0.18,77.4,87.4,-0.019,-0.18,0.464,0.4,-0.035,-0.017,0.563,-0.126,0.215,7.2876,18.52
Vta10,Vta (Driver E),Train,1453,2.42,89.3,118.0,0.016,-0.002,0.411,0.431,0.166,0.128,0.322,0.448,0.169,3.7554,21.92
Vta11,Vta (Driver E),Train,461,0.77,45.7,97.6,-0.11,-0.04,0.296,0.429,0.094,0.216,-0.009,0.357,0.088,5.1302,10.49
Vta12,Vta (Driver E),Train,561,0.94,67.6,85.3,-0.482,-0.455,0.194,0.27,-0.531,-0.517,0.196,-0.178,0.037,2.8408,17.68
Vta13,Vta (Driver E),Train,355,0.59,87.3,103.6,-0.319,-0.344,0.359,0.199,-0.488,-0.385,0.016,-0.035,0.129,1.4361,22.92
Vta14,Vta (Driver E),Train,2836,4.73,67.7,91.0,0.029,0.027,0.01,-0.031,0.036,0.046,-0.048,0.09,0.0,0.077,18.78
Vta15,Vta (Driver E),Train,784,1.31,71.6,78.8,0.099,0.058,0.122,0.258,0.02,-0.074,0.06,0.074,0.015,0.5597,19.62
Vta16,Vta (Driver E),Train,11286,18.81,43.3,93.9,-0.113,-0.12,0.321,0.491,-0.12,-0.128,0.327,0.252,0.103,5.4435,9.77
Vta17,Vta (Driver E),Train,4470,7.45,32.7,56.2,-0.178,-0.228,0.48,0.571,-0.247,-0.271,0.422,0.299,0.23,4.5028,6.74
Vta19,Vta (Driver E),Val,243,0.41,24.4,54.2,0.391,0.331,0.531,0.551,0.644,0.569,0.048,0.803,0.281,14.0714,2.92
Vta20,Vta (Driver E),Val,3174,5.29,4.3,44.8,-0.085,-0.109,0.024,0.373,-0.13,-0.138,0.067,0.028,0.001,0.1764,1.17
Vta21,Vta (Driver E),Test,2030,3.38,48.2,74.8,-0.309,-0.287,0.359,0.324,-0.395,-0.351,0.331,0.222,0.129,1.8765,11.42
Vta22,Vta (Driver E),Test,1515,2.52,38.4,55.8,-0.033,-0.07,0.298,0.381,0.016,-0.001,0.349,0.233,0.089,1.621,9.49
Vta23,Vta (Driver E),Test,1061,1.77,35.1,51.9,-0.079,-0.231,0.467,0.409,-0.153,-0.314,0.294,0.287,0.218,3.8064,7.44
